label,file,source,src_path,segment,native_sr,spec_path
Chains,Anthropogenic_Chains_27.4.c_192000_16_10_48_seg000,Anthropogenic_Chains_27.4.c_192000_16_10_48.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_10_48.flac,0,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_10_48_seg000.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_10_48_seg001,Anthropogenic_Chains_27.4.c_192000_16_10_48.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_10_48.flac,1,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_10_48_seg001.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_12_12_seg000,Anthropogenic_Chains_27.4.c_192000_16_12_12.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_12_12.flac,0,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_12_12_seg000.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_12_12_seg001,Anthropogenic_Chains_27.4.c_192000_16_12_12.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_12_12.flac,1,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_12_12_seg001.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_13_33_seg000,Anthropogenic_Chains_27.4.c_192000_16_13_33.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_13_33.flac,0,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_13_33_seg000.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_13_33_seg001,Anthropogenic_Chains_27.4.c_192000_16_13_33.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_13_33.flac,1,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_13_33_seg001.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_16_17_seg000,Anthropogenic_Chains_27.4.c_192000_16_16_17.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_16_17.flac,0,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_16_17_seg000.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_16_17_seg001,Anthropogenic_Chains_27.4.c_192000_16_16_17.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_16_17.flac,1,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_16_17_seg001.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_16_17_seg002,Anthropogenic_Chains_27.4.c_192000_16_16_17.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_16_17.flac,2,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_16_17_seg002.png
Chains,Anthropogenic_Chains_27.4.c_192000_16_42_31_seg000,Anthropogenic_Chains_27.4.c_192000_16_42_31.flac,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/Chains/Anthropogenic_Chains_27.4.c_192000_16_42_31.flac,0,192000,/data2/mromaniuc/cet-det/datasets/ECOSS/annotated_sounds/spectrograms/Chains/Anthropogenic_Chains_27.4.c_192000_16_42_31_seg000.png
