label,file,source,src_path,segment,native_sr,spec_path
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_1_seg000,anthropogenic_Hammer_27.4.b_48000_16_10_1.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_1.wav,0,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_1_seg000.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_1_seg001,anthropogenic_Hammer_27.4.b_48000_16_10_1.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_1.wav,1,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_1_seg001.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_2_seg000,anthropogenic_Hammer_27.4.b_48000_16_10_2.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_2.wav,0,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_2_seg000.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_2_seg001,anthropogenic_Hammer_27.4.b_48000_16_10_2.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_2.wav,1,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_2_seg001.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_3_seg000,anthropogenic_Hammer_27.4.b_48000_16_10_3.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_3.wav,0,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_3_seg000.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_3_seg001,anthropogenic_Hammer_27.4.b_48000_16_10_3.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_3.wav,1,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_3_seg001.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_4_seg000,anthropogenic_Hammer_27.4.b_48000_16_10_4.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_4.wav,0,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_4_seg000.png
Anthropogenic_Hammer,anthropogenic_Hammer_27.4.b_48000_16_10_4_seg001,anthropogenic_Hammer_27.4.b_48000_16_10_4.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_4.wav,1,48000,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Anthropogenic_Hammer/anthropogenic_Hammer_27.4.b_48000_16_10_4_seg001.png
Cetaceans_Delphinus_delphis,Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5_seg000,Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Cetaceans_Delphinus_delphis/Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5.wav,0,44100,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Cetaceans_Delphinus_delphis/Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5_seg000.png
Cetaceans_Delphinus_delphis,Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5_seg001,Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5.wav,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/Cetaceans_Delphinus_delphis/Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5.wav,1,44100,/data2/mromaniuc/cet-det/datasets/ECOSS/testingtraining_sounds/spectrograms/Cetaceans_Delphinus_delphis/Cetaceans_Delphinus delphis_Sicily channel_300000_16_15_5_seg001.png
