wav_path,offset_s,label,n_echolocation,n_burst_pulse,n_feeding_buzz,n_whistles,n_noise,label_raw,embedding_idx
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,0.0,background,0,0,0,0,0,background,0
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,5.0,background,0,0,0,0,0,background,1
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,10.0,background,0,0,0,0,0,background,2
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,15.0,background,0,0,0,0,0,background,3
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,20.0,background,0,0,0,0,0,background,4
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,25.0,background,0,0,0,0,0,background,5
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,30.0,echolocation,2,0,0,0,0,echolocation,6
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,35.0,echolocation,1,0,0,0,0,echolocation,7
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,40.0,background,0,0,0,0,0,background,8
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,45.0,echolocation,1,0,0,0,0,echolocation,9
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,50.0,echolocation,2,0,0,1,0,echolocation+whistle,10
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,55.0,echolocation,3,0,0,0,0,echolocation,11
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,60.0,background,0,0,0,0,0,background,12
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,65.0,background,0,0,0,0,0,background,13
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,70.0,background,0,0,0,0,0,background,14
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,75.0,burst_pulse,0,1,0,0,0,burst_pulse,15
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,80.0,echolocation,1,0,0,0,0,echolocation,16
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,85.0,echolocation,1,0,0,0,0,echolocation,17
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,90.0,echolocation,1,0,0,0,0,echolocation,18
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,95.0,background,0,0,0,0,0,background,19
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,100.0,background,0,0,0,0,0,background,20
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,105.0,burst_pulse,0,1,0,0,0,burst_pulse,21
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,110.0,background,0,0,0,0,0,background,22
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,115.0,burst_pulse,0,1,0,0,0,burst_pulse,23
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,120.0,background,0,0,0,0,0,background,24
/data2/mromaniuc/cet-det/datasets/OLTREMARE/RAW_RECORDINGS/20211120_102109_192.wav,125.0,background,0,0,0,0,0,background,25
