Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Delta Time (s)	Begin Date Time	End Date Time	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	signalType	species	quality	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	B_D21_20240618_093800.WAV	B_D21_20240618_093800.WAV	19.3775999546051	20.9481999874115	1.5706000328064	2024-06-18 09:38:19.3776	2024-06-18 09:38:20.9482	5551.02	20897.959	8156.25	whistles	Globicephala melas	low	boat_based_surveys	B_D21	B_D21_sel_01_gloMel_whistles
2	Spectrogram 1	1	B_D21_20240618_093800.WAV	B_D21_20240618_093800.WAV	26.1493000984192	28.7199001312256	2.5706000328064	2024-06-18 09:38:26.1493	2024-06-18 09:38:28.7199	5551.02	20897.959	13031.25	whistles	Globicephala melas	low	boat_based_surveys	B_D21	B_D21_sel_02_gloMel_whistles
3	Spectrogram 1	1	B_D21_20240618_093800.WAV	B_D21_20240618_093800.WAV	37.6610000133514	39.2316000461578	1.5706000328064	2024-06-18 09:38:37.6610	2024-06-18 09:38:39.2316	1142.857	24000	2343.75	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_03_gloMel_whistles
4	Spectrogram 1	1	B_D21_20240618_093800.WAV	B_D21_20240618_093900.WAV	43.8056001663208	68.6359000205994	24.8302998542786	2024-06-18 09:38:43.8056	2024-06-18 09:39:13.6359	734.694	24000	2343.75	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_04_gloMel_whistles
5	Spectrogram 1	1	B_D21_20240618_093800.WAV	B_D21_20240618_093900.WAV	46.1519999504089	86.8647999763489	40.7128000259399	2024-06-18 09:38:46.1520	2024-06-18 09:39:31.8648	3313.433	24000	5343.75	clicks	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_05_gloMel_clicks
6	Spectrogram 1	1	B_D21_20240618_093900.WAV	B_D21_20240618_093900.WAV	71.3029999732971	89.4393000602722	18.1363000869751	2024-06-18 09:39:16.3030	2024-06-18 09:39:34.4393	489.796	24000	562.5	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_06_gloMel_whistles
7	Spectrogram 1	1	B_D21_20240618_094000.WAV	B_D21_20240618_094100.WAV	115.320199966431	195.790100097656	80.4699001312256	2024-06-18 09:40:05.3202	2024-06-18 09:41:30.7901	0	24000	1406.25	clicks	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_07_gloMel_clicks
8	Spectrogram 1	1	B_D21_20240618_094000.WAV	B_D21_20240618_094000.WAV	117.397699832916	119.818300008774	2.42060017585754	2024-06-18 09:40:07.3977	2024-06-18 09:40:09.8183	1061.224	24000	3468.75	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_08_gloMel_whistles
9	Spectrogram 1	1	B_D21_20240618_094000.WAV	B_D21_20240618_094000.WAV	124.475600004196	126.89629983902	2.42069983482361	2024-06-18 09:40:14.4756	2024-06-18 09:40:16.8963	734.694	23959.184	3468.75	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_09_gloMel_whistles
10	Spectrogram 1	1	B_D21_20240618_094000.WAV	B_D21_20240618_094000.WAV	144.501199960709	146.489500045776	1.98830008506775	2024-06-18 09:40:34.5012	2024-06-18 09:40:36.4895	1061.224	20408.163	4500	whistles	Globicephala melas	medium	boat_based_surveys	B_D21	B_D21_sel_10_gloMel_whistles
11	Spectrogram 1	1	B_D21_20240618_094100.WAV	B_D21_20240618_094100.WAV	168.347700119019	170.768399953842	2.42069983482361	2024-06-18 09:41:03.3477	2024-06-18 09:41:05.7684	1061.224	24000	1125	whistles	Globicephala melas	low	boat_based_surveys	B_D21	B_D21_sel_11_gloMel_whistles
12	Spectrogram 1	1	B_D21_20240618_094100.WAV	B_D21_20240618_094100.WAV	183.468100070953	185.888800144196	2.42070007324219	2024-06-18 09:41:18.4681	2024-06-18 09:41:20.8888	1061.224	24000	3468.75	whistles	Globicephala melas	low	boat_based_surveys	B_D21	B_D21_sel_12_gloMel_whistles
13	Spectrogram 1	1	B_D21_20240618_094100.WAV	B_D21_20240618_094100.WAV	201.610499858856	203.354300022125	1.74380016326904	2024-06-18 09:41:36.6105	2024-06-18 09:41:38.3543	1061.224	23591.837	12937.5	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_13_gloMel_whistles
14	Spectrogram 1	1	B_D21_20240618_094100.WAV	B_D21_20240618_094100.WAV	208.94000005722	211.360700130463	2.42070007324219	2024-06-18 09:41:43.9400	2024-06-18 09:41:46.3607	1020.408	23959.184	11718.75	whistles	Globicephala melas	high	boat_based_surveys	B_D21	B_D21_sel_14_gloMel_whistles
