Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Delta Time (s)	Begin Date Time	End Date Time	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	signalType	species	quality	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	B_D22_20240618_093800.WAV	B_D22_20240618_093800.WAV	18.0485999584198	20.3517999649048	2.30320000648499	2024-06-18 09:38:18.0486	2024-06-18 09:38:20.3518	5536.496	22307.054	6375	whistles	Globicephala melas	low	boat_based_surveys	B_D22	B_D22_sel_01_gloMel_whistles
2	Spectrogram 1	1	B_D22_20240618_093800.WAV	B_D22_20240618_093800.WAV	26.0615999698639	27.1167001724243	1.05510020256042	2024-06-18 09:38:26.0616	2024-06-18 09:38:27.1167	5777.213	22107.884	10500	whistles	Globicephala melas	low	boat_based_surveys	B_D22	B_D22_sel_02_gloMel_whistles
3	Spectrogram 1	1	B_D22_20240618_093800.WAV	B_D22_20240618_093800.WAV	37.3343000411987	39.3712000846863	2.03690004348755	2024-06-18 09:38:37.3343	2024-06-18 09:38:39.3712	0	27087.137	2250	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_03_gloMel_whistles
4	Spectrogram 1	1	B_D22_20240618_093800.WAV	B_D22_20240618_093900.WAV	42.6740999221802	67.9193000793457	25.2452001571655	2024-06-18 09:38:42.6741	2024-06-18 09:39:12.9193	0	33062.241	375	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_04_gloMel_whistles
5	Spectrogram 1	1	B_D22_20240618_093800.WAV	B_D22_20240618_093900.WAV	46.670599937439	91.8951001167297	45.2245001792908	2024-06-18 09:38:46.6706	2024-06-18 09:39:36.8951	1252.174	93913.043	19875	clicks	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_05_gloMel_clicks
6	Spectrogram 1	1	B_D22_20240618_093900.WAV	B_D22_20240618_093900.WAV	70.1514999866486	88.7279000282288	18.5764000415802	2024-06-18 09:39:15.1515	2024-06-18 09:39:33.7279	0	33236.953	19875	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_06_gloMel_whistles
7	Spectrogram 1	1	B_D22_20240618_094000.WAV	B_D22_20240618_094100.WAV	114.15030002594	195.295799970627	81.1454999446869	2024-06-18 09:40:04.1503	2024-06-18 09:41:30.2958	5008.696	54260.87	22875	clicks	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_07_gloMel_clicks
8	Spectrogram 1	1	B_D22_20240618_094000.WAV	B_D22_20240618_094000.WAV	116.869899988174	119.236899852753	2.36699986457825	2024-06-18 09:40:06.8699	2024-06-18 09:40:09.2369	0	25516.023	4500	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_08_gloMel_whistles
9	Spectrogram 1	1	B_D22_20240618_094000.WAV	B_D22_20240618_094000.WAV	123.018399953842	126.385499954224	3.36710000038147	2024-06-18 09:40:13.0184	2024-06-18 09:40:16.3855	0	25516.023	3750	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_09_gloMel_whistles
10	Spectrogram 1	1	B_D22_20240618_094000.WAV	B_D22_20240618_094000.WAV	143.158599853516	145.570399999619	2.41180014610291	2024-06-18 09:40:33.1586	2024-06-18 09:40:35.5704	481.434	14924.467	4500	whistles	Globicephala melas	medium	boat_based_surveys	B_D22	B_D22_sel_10_gloMel_whistles
11	Spectrogram 1	1	B_D22_20240618_094100.WAV	B_D22_20240618_094100.WAV	167.519999980927	170.600100040436	3.08010005950928	2024-06-18 09:41:02.5200	2024-06-18 09:41:05.6001	1259.705	16665.606	5625	whistles	Globicephala melas	low	boat_based_surveys	B_D22	B_D22_sel_11_gloMel_whistles
12	Spectrogram 1	1	B_D22_20240618_094100.WAV	B_D22_20240618_094100.WAV	182.861700057983	185.248399972916	2.38669991493225	2024-06-18 09:41:17.8617	2024-06-18 09:41:20.2484	762.105	20280.175	4500	whistles	Globicephala melas	low	boat_based_surveys	B_D22	B_D22_sel_12_gloMel_whistles
13	Spectrogram 1	1	B_D22_20240618_094100.WAV	B_D22_20240618_094100.WAV	200.819499969482	202.996000051498	2.17650008201599	2024-06-18 09:41:35.8195	2024-06-18 09:41:37.9960	722.152	24553.155	6000	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_13_gloMel_whistles
14	Spectrogram 1	1	B_D22_20240618_094100.WAV	B_D22_20240618_094100.WAV	207.679800033569	211.237100124359	3.55730009078979	2024-06-18 09:41:42.6798	2024-06-18 09:41:46.2371	433.046	24264.049	750	whistles	Globicephala melas	high	boat_based_surveys	B_D22	B_D22_sel_14_gloMel_whistles
