Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Delta Time (s)	Begin Date Time	End Date Time	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	signalType	species	quality	deploymentType	deploymentID	selectionID
1	Spectrogram 1	1	B_D20_20240618_091700.WAV	B_D20_20240618_092700.WAV	24.7337000370026	581.869100093842	557.135400056839	2024-06-18 09:17:24.7337	2024-06-18 09:27:31.8691	0	96000	375	clicks	Globicephala melas	high	boat_based_surveys	B_D20	B_D20_sel_01_gloMel_clicks
2	Spectrogram 1	1	B_D20_20240618_091700.WAV	B_D20_20240618_091700.WAV	29.527899980545	30.4823000431061	0.954400062561035	2024-06-18 09:17:29.5279	2024-06-18 09:17:30.4823	0	22533.762	750	whistles	Globicephala melas	high	boat_based_surveys	B_D20	B_D20_sel_02_gloMel_whistles
3	Spectrogram 1	1	B_D20_20240618_091700.WAV	B_D20_20240618_091700.WAV	40.5082998275757	42.1838998794556	1.67560005187988	2024-06-18 09:17:40.5083	2024-06-18 09:17:42.1839	2469.453	14508.039	4125	whistles	Globicephala melas	high	boat_based_surveys	B_D20	B_D20_sel_03_gloMel_whistles
4	Spectrogram 1	1	B_D20_20240618_091700.WAV	B_D20_20240618_091700.WAV	48.7774000167847	50.4530000686646	1.67560005187988	2024-06-18 09:17:48.7774	2024-06-18 09:17:50.4530	4193.473	16232.059	9000	whistles	Globicephala melas	high	boat_based_surveys	B_D20	B_D20_sel_04_gloMel_whistles
5	Spectrogram 1	1	B_D20_20240618_091800.WAV	B_D20_20240618_091800.WAV	72.3933000564575	73.8084001541138	1.41510009765625	2024-06-18 09:18:17.3933	2024-06-18 09:18:18.8084	3172.197	15210.782	13125	whistles	Globicephala melas	medium	boat_based_surveys	B_D20	B_D20_sel_05_gloMel_whistles
6	Spectrogram 1	1	B_D20_20240618_091800.WAV	B_D20_20240618_091800.WAV	86.9649000167847	89.9748001098633	3.00990009307861	2024-06-18 09:18:31.9649	2024-06-18 09:18:34.9748	3172.197	23148.936	16875	whistles	Globicephala melas	medium	boat_based_surveys	B_D20	B_D20_sel_06_gloMel_whistles
7	Spectrogram 1	1	B_D20_20240618_091800.WAV	B_D20_20240618_091800.WAV	93.159600019455	96.088700056076	2.92910003662109	2024-06-18 09:18:38.1596	2024-06-18 09:18:41.0887	2382.979	26489.627	12750	whistles	Globicephala melas	medium	boat_based_surveys	B_D20	B_D20_sel_07_gloMel_whistles
8	Spectrogram 1	1	B_D20_20240618_091800.WAV	B_D20_20240618_091800.WAV	104.557600021362	109.984400033951	5.4268000125885	2024-06-18 09:18:49.5576	2024-06-18 09:18:54.9844	962.869	40440.49	12750	whistles	Globicephala melas	medium	boat_based_surveys	B_D20	B_D20_sel_08_gloMel_whistles
9	Spectrogram 1	1	B_D20_20240618_091900.WAV	B_D20_20240618_091900.WAV	117.883999824524	119.295799970627	1.41180014610291	2024-06-18 09:19:07.8840	2024-06-18 09:19:09.2958	722.152	9869.405	750	whistles	Globicephala melas	low	boat_based_surveys	B_D20	B_D20_sel_09_gloMel_whistles
10	Spectrogram 1	1	B_D20_20240618_091900.WAV	B_D20_20240618_091900.WAV	140.565099954605	142.271699905396	1.70659995079041	2024-06-18 09:19:30.5651	2024-06-18 09:19:32.2717	5295.778	27441.761	19875	whistles	Globicephala melas	low	boat_based_surveys	B_D20	B_D20_sel_10_gloMel_whistles
11	Spectrogram 1	1	B_D20_20240618_091900.WAV	B_D20_20240618_091900.WAV	145.886499881744	147.562099933624	1.67560005187988	2024-06-18 09:19:35.8865	2024-06-18 09:19:37.5621	6576.452	24099.585	10500	whistles	Globicephala melas	low	boat_based_surveys	B_D20	B_D20_sel_11_gloMel_whistles
