2.596220	2.871295	W
4.877184	5.164623	W
5.974396	7.665029	W
13.509614	14.507922	MW
13.528158	13.868140	W
14.167941	14.507922	W
20.602857	21.919511	ECT
22.794190	23.044540	W
24.024303	25.786024	NOISE
26.274360	28.172073	ECT
28.406969	28.610958	W
29.918340	31.596610	ECT
40.096139	40.361942	W
46.135440	49.040733	ECT
52.901065	54.087908	BPS
57.960602	60.071576	NOISE
67.288448	67.510981	W
68.178581	68.484564	W
72.153269	72.477797	W
97.370597	99.620654	ECT
100.180078	101.348377	ECT
100.418065	100.699322	W
103.589161	106.645901	MW
103.589161	103.916779	W
104.278396	104.568925	W
104.618377	105.316884	W
106.250286	106.553179	W
109.242120	110.877121	BPS
134.552171	137.679997	NOISE
143.608032	145.283211	ECT
163.648374	165.107202	ECT
165.107202	165.348280	FB
169.542411	169.789670	W
169.972023	171.505029	ECT
172.042818	173.096759	ECT
187.827214	189.020239	ECT
203.744513	207.110326	NOISE
218.882946	220.610668	BPS
235.084592	238.190784	NOISE
238.487494	240.848818	NOISE
246.993204	250.383743	NOISE
253.332307	255.718357	ECT
280.252632	282.388331	ECT
285.290534	286.965714	ECT
294.890365	295.109807	W
296.618087	298.287085	BPS
298.401443	298.617794	W
