2.919298	4.470269	NOISE
6.542222	8.709988	NOISE
12.231111	14.856982	NOISE
19.237427	21.129731	NOISE
22.102830	24.662830	NOISE
27.393497	30.441544	NOISE
47.355509	48.852585	ECT
49.104094	50.427509	BPS
69.185871	71.590175	NOISE
90.737778	92.692959	NOISE
113.870596	114.107135	W
116.451556	116.679111	W
117.212070	117.535439	W
142.485708	144.587602	NOISE
163.753170	163.905871	W
179.508398	181.212070	NOISE
191.008936	193.694690	NOISE
209.207392	210.967953	ECT
211.177544	212.471018	ECT
212.776421	214.264515	ECT
221.504374	223.166129	ECT
232.666573	233.801357	BPS
234.582830	235.897263	BPS
290.696234	292.762199	NOISE
296.403088	299.005006	NOISE
