41.797397	43.588093	NOISE
44.489236	44.692066	W
44.509519	45.480204	MW
44.819559	45.057159	W
45.225218	45.500487	W
47.073865	48.038755	MW
47.073865	47.201358	W
47.398393	47.580939	W
47.806950	48.009779	W
49.365840	49.562875	W
49.386123	50.701619	MW
49.609236	49.887402	W
49.997510	50.240905	W
50.400272	50.629179	W
52.816842	54.051205	ECT
77.382411	79.375937	BPS
82.577748	84.724844	NOISE
88.665535	90.841607	NOISE
93.649349	96.031149	NOISE
99.525614	101.919004	MW
99.525614	99.774805	W
100.252903	100.548455	W
101.014963	101.246769	W
101.629247	101.919004	W
103.602490	103.874861	W
105.575733	105.888670	W
106.873843	107.163599	W
107.954635	110.287176	MW
108.024177	108.357397	W
108.905037	109.229564	W
109.852541	110.243713	W
111.304222	111.660623	W
113.671534	115.601313	NOISE
133.453220	134.902003	BPS
153.718800	155.190764	NOISE
174.563894	174.807289	W
210.910968	212.681381	NOISE
252.569281	254.838076	NOISE
271.342615	273.324550	NOISE
297.084595	299.364980	NOISE
