3.394016	5.202581	ECT
11.442973	12.690375	BPS
66.173175	71.149262	W
72.163411	73.772526	W
107.729591	110.417084	NOISE
110.511737	113.523758	NOISE
114.997653	118.087425	NOISE
120.670123	123.012805	NOISE
128.678513	130.818366	NOISE
132.704682	136.061513	NOISE
139.070153	141.723841	NOISE
144.100328	147.261090	NOISE
150.543550	153.511624	NOISE
153.677268	156.131507	NOISE
157.118612	159.944705	NOISE
162.906018	165.918038	NOISE
182.763041	184.209892	BPS
187.624192	190.284641	NOISE
216.970262	219.363652	NOISE
229.129900	231.868100	NOISE
234.281773	236.658261	NOISE
246.752417	248.939596	NOISE
252.333613	254.902788	NOISE
258.536819	260.991058	NOISE
264.347889	267.282158	NOISE
270.740404	273.066184	NOISE
